County_FIPS,Proportional_allocation_to_Medicaid_demand,Medicaid_demand,Normalized_Medicaid_demand,Proportional_allocation_to_Medicaid_capita,Medicaid_capita,Normalized_Medicaid_capita,Proportional_allocation_to_Covid,Covid,Normalized_Covid,Proportional_allocation_to_SVI,SVI,Normalized_SVI,Proportional_allocation_to_YPLL,YPLL,Normalized_YPLL,Proportional_allocation_to_Unemployment,Unemployment,Normalized_Unemployment,Proportional_allocation_to_Covid_capita,Covid_capita,Normalized_Covid_capita,Proportional_allocation_to_Covid_death_capita,Covid_death_capita,Normalized_Covid_death_capita,Proportional_allocation_to_Covid_med,Covid_med,Normalized_Covid_med,Proportional_allocation_to_SVI_med,SVI_med,Normalized_SVI_med,Proportional_allocation_to_YPLL_med,YPLL_med,Normalized_YPLL_med,Proportional_allocation_to_Covid_capita_med,Covid_capita_med,Normalized_Covid_capita_med,Proportional_allocation_to_Covid_death_capita_med,Covid_death_capita_med,Normalized_Covid_death_capita_med,Proportional_allocation_to_Unemployment_med,Unemployment_med,Normalized_Unemployment_med
39067,51.15072212,74.81818182,0.002795438,442.5841061,464.3375242,0.519984306,5.584646057,2,0,579.6295016,0.704545455,0.701149425,476.1426301,6804,0.644977679,45.43410314,373,0.003026034,50.58568707,13.29787234,0,113.9126616,86.43617021,0.050435875,4.131018135,2.005590876,0,522.1246423,0.706514968,0.353412317,441.6447638,9931.68602,0.407440909,46.95650887,13.33504572,0,102.5294372,86.67779719,0.049643048,33.14018852,809.2559187,0.001520685
39069,78.09107902,24.67272727,0.008356079,376.29898,394.7944228,0.410698663,111.6929211,40,0.018545632,121.5352181,0.147727273,0.137931034,347.2995113,4352,0.345870536,69.02380476,374,0.007398132,563.4368167,148.1152337,0.236442835,126.8789477,96.27490187,0.056176817,83.07850414,40.33424316,0.010192319,110.084817,0.148961693,0.069717744,323.9229825,7284.364314,0.217026395,525.914252,149.3528962,0.234528902,114.833265,97.07938255,0.055600357,50.62598442,1236.244553,0.00374242
39071,193.6696047,64.4,0.032212134,583.9314258,612.6321953,0.753026523,67.01575269,24,0.010736945,724.5368769,0.880681818,0.879310345,475.2772659,8801,0.64296875,107.0826074,375,0.014451923,211.526721,55.6057552,0.074199611,88.54886173,67.19028753,0.03920582,51.0264034,24.77309123,0.006054312,671.8012604,0.909050459,0.45646654,453.7740652,10204.44916,0.427060005,202.1110205,57.39693526,0.075973753,82.03820844,69.3546301,0.039721536,80.39861419,1963.26748,0.007525314
39073,113.9272137,35.78181818,0.015752858,524.5485999,550.3306487,0.655120843,36.30019937,13,0.005368472,439.3965576,0.534090909,0.528735632,448.2586716,5946,0.580245536,68.85490475,375,0.007366828,174.9666278,45.99490518,0.057344092,545.5426646,413.9541466,0.241544014,27.19857566,13.20478715,0.00297808,400.9184683,0.542504367,0.26996035,421.1535077,9470.879648,0.374296383,164.5125644,46.71945639,0.0575631,497.3716169,420.4751075,0.240819063,50.87256088,1242.265745,0.00377375
39077,193.8027751,187.9454545,0.032239622,432.8492483,454.1241891,0.503934247,170.3317047,61,0.028794534,467.4431464,0.568181818,0.563218391,420.615092,8512,0.516071429,171.3772118,377,0.026368237,398.2539796,104.6922734,0.1602876,158.3285807,120.1386744,0.07010143,129.6955622,62.96661692,0.016210698,433.4317097,0.586499785,0.292346123,401.5956926,9031.064449,0.342661695,380.5366117,108.0675126,0.163342542,146.6912024,124.0118998,0.07102544,128.6750256,3142.137408,0.013659287
39081,256.5259985,144.9636364,0.045186046,511.0270028,536.1444526,0.632827509,75.39272177,27,0.012201074,617.0249533,0.75,0.747126437,490.9980494,6802,0.679464286,203.017814,377,0.032232483,157.2279817,41.33180253,0.049165937,88.76663185,67.35553004,0.03930224,58.12622564,28.22002325,0.006970917,579.3055513,0.783889535,0.392782088,474.6757437,10674.48509,0.460868387,152.1175213,43.19942327,0.05149368,83.27364391,70.39906015,0.040319713,154.3435253,3768.940883,0.016920712
39083,181.6709584,90.90909091,0.029735547,379.3464341,397.9916621,0.415723063,80.97736783,29,0.01317716,210.3494159,0.255681818,0.247126437,367.9721013,5668,0.393861607,141.4819098,377,0.020827464,177.0117557,46.53252463,0.058286969,281.2462511,213.4077854,0.124524355,61.50897062,29.86233085,0.007407638,194.5711181,0.263284657,0.127887619,350.4808288,7881.595874,0.259983606,168.7266221,47.91619468,0.059626578,259.942129,219.7535825,0.125859655,105.9710613,2587.725429,0.010774534
39085,478.0148843,35.67272727,0.090902594,270.2864089,283.5712359,0.235913569,335.0787634,120,0.057589068,158.9306698,0.193181818,0.183908046,365.8086907,5729,0.388839286,852.6072589,377,0.152626911,198.3433516,52.1401353,0.068121603,322.3857121,244.6241348,0.142739228,269.638546,130.9083113,0.034277689,155.7417489,0.210742547,0.101153113,369.1166732,8300.677837,0.29012701,200.2900706,56.87980885,0.075082097,315.6646755,266.8611032,0.152839585,676.5434061,16520.62888,0.083271131
39089,476.4967426,175.8909091,0.090589241,350.6043377,367.8368651,0.36833538,538.9183445,193,0.093216203,308.5124766,0.375,0.367816092,328.8384077,6169,0.303013393,463.912032,377,0.080586425,415.1148511,109.1246282,0.168061069,523.8383339,397.4850448,0.231934222,433.5440937,210.4837235,0.055438306,302.2353789,0.408970965,0.202015809,331.7167602,7459.630408,0.2296328,419.0687508,119.0101455,0.182210387,512.7701197,433.4929134,0.248274762,368.0082127,8986.455346,0.044068825
39091,136.7526075,40.30909091,0.020464147,389.6524997,408.8042803,0.432714884,178.7086738,64,0.030258663,373.9545171,0.454545455,0.448275862,410.9999339,5993,0.49375,122.9029085,378,0.017384045,533.0591933,140.1296199,0.222437657,75.02392846,56.92765808,0.033217532,134.5217415,65.30970542,0.01683377,342.7898025,0.46384734,0.229938037,387.9387592,8723.947994,0.32057166,503.5342152,142.9972531,0.223570179,68.71661797,58.09263406,0.033271443,91.22640836,2227.673233,0.008901087
